description,amount,category
Uber ride to office,12.50,Transport
Domino's Pizza dinner,15.99,Food
Grocery shopping at Walmart,54.20,Groceries
Movie night tickets,20.00,Entertainment
Monthly internet bill,45.00,Utilities
Gym membership fee,30.00,Health
Taxi to airport,35.00,Transport
Starbucks coffee,4.50,Food
Electricity bill,60.00,Utilities
Pharmacy purchase,12.00,Health
Amazon order - headphones,25.00,Shopping
Lunch at Subway,8.75,Food
Fuel for car,40.00,Transport
Spotify subscription,9.99,Entertainment
Water bill,25.00,Utilities
Clothes shopping at H&M,70.00,Shopping
